Transition,Species,Line,Frequency (MHz),delta_f_MHz_100kms,clean_score,clean
H257alpha,H,H257,385.1590577561033,0.1284752326077874,1.0,True
H258alpha,H,H258,380.7063740550712,0.12698997719784905,1.0,True
H259alpha,H,H259,376.32206127379663,0.1255275278718975,0.0,False
H260alpha,H,H260,372.0048121385818,0.12408744857036458,0.0,False
H261alpha,H,H261,367.7533492559916,0.12266931320066485,0.0,False
H262alpha,H,H262,363.5664243191262,0.12127270537243676,0.0,False
H263alpha,H,H263,359.4428173377944,0.11989721814075603,1.0,True
H264alpha,H,H264,355.3813358920107,0.11854245375712912,1.0,True
H265alpha,H,H265,351.38081440777177,0.11720802342791818,1.0,True
H266alpha,H,H266,347.44011345458495,0.11589354708002192,1.0,True
H267alpha,H,H267,343.5581190638685,0.11459865313351829,1.0,True
H268alpha,H,H268,339.7337420676546,0.11332297828107957,0.9990894598246158,True
H269alpha,H,H269,335.96591745672714,0.11206616727387023,0.9770186465296318,False
H270alpha,H,H270,332.253603757848,0.11082787271381189,1.0,True
H271alpha,H,H271,328.5957824290871,0.10960775485188726,1.0,True
H272alpha,H,H272,324.99145727295394,0.10840548139238178,1.0,True
H273alpha,H,H273,321.43965386660784,0.10722072730282223,1.0,True
H274alpha,H,H274,317.9394190085727,0.1060531746294207,1.0,True
H275alpha,H,H275,314.4898201815376,0.10490251231788413,1.0,True
H276alpha,H,H276,311.08994503055453,0.10376843603935978,1.0,True
H277alpha,H,H277,307.7389008563025,0.10265064802140636,1.0,True
H278alpha,H,H278,304.43581412278996,0.10154885688378124,1.0,True
H279alpha,H,H279,301.17982997916107,0.10046277747893213,1.0,True
