Transition,Species,Line,Frequency (MHz),delta_f_MHz_100kms,delta_f_kHz_100kms,clean_score,region,clean
H230alpha,H,H230,536.9823337,0.17911802627803267,179.11802627803266,1.0,mid frequency,True
H231alpha,H,H231,530.0535724,0.1768068402841542,176.8068402841542,0.5721413164594722,mid frequency,False
H232alpha,H,H232,523.2435042,0.17453524604678347,174.53524604678347,1.0,mid frequency,True
H233alpha,H,H233,516.5495982,0.172302399348552,172.302399348552,1.0,mid frequency,True
H234alpha,H,H234,509.9693884,0.170107477620401,170.107477620401,1.0,mid frequency,True
H235alpha,H,H235,503.5004709,0.167949679007602,167.949679007602,1.0,mid frequency,True
H236alpha,H,H236,497.1405028,0.16582822200283637,165.82822200283636,1.0,mid frequency,True
H237alpha,H,H237,490.8872,0.1637423447123543,163.7423447123543,0.11352576575063321,mid frequency,False
H238alpha,H,H238,484.7383357,0.1616913043556286,161.6913043556286,0.9984202914100772,mid frequency,True
H239alpha,H,H239,478.6917387,0.1596743766982957,159.6743766982957,1.0,mid frequency,True
H240alpha,H,H240,472.7452917,0.15769085548509695,157.69085548509696,1.0,mid frequency,True
H241alpha,H,H241,466.8969297,0.1557400519061757,155.74005190617572,1.0,low frequency,True
H242alpha,H,H242,461.1446387,0.15382129416344423,153.82129416344424,1.0,low frequency,True
H243alpha,H,H243,455.486454,0.1519339269035247,151.9339269035247,0.9981195761377227,low frequency,True
H244alpha,H,H244,449.9204591,0.15007731085082868,150.07731085082867,0.9954410050627992,low frequency,True
H245alpha,H,H245,444.4447839,0.14825082220714172,148.25082220714174,0.9985033237522035,low frequency,True
H246alpha,H,H246,439.0576039,0.14645385238477213,146.45385238477212,1.0,low frequency,True
H247alpha,H,H247,433.7571385,0.14468580743949203,144.68580743949204,0.7128194360422844,low frequency,False
H248alpha,H,H248,428.5416499,0.14294610770361674,142.94610770361675,0.9388371141161024,low frequency,False
H249alpha,H,H249,423.409442,0.14123418741908444,141.23418741908444,1.0,low frequency,True
H250alpha,H,H250,418.3588591,0.13954949430382269,139.54949430382268,0.9854890374441068,low frequency,False
H251alpha,H,H251,413.3882849,0.1378914892181844,137.8914892181844,0.9815644905861811,low frequency,False
